Series,Episode_Title,Action,image_url,description,linked,year
Season_14,The Robots of Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_14,The Talons of Weng-Chiang,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_15,Horror of Fang Rock,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_15,The Invisible Enemy,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_15,Image of the Fendahl,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_15,The Sun Makers,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1977
Season_15,Underworld,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_15,The Invasion of Time,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Ribos Operation,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Pirate Planet,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Stones of Blood,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Androids of Tara,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Power of Kroll,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1978
Season_16,The Armageddon Factor,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,Destiny of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,City of Death,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,The Creature from the Pit,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,Nightmare of Eden,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,The Horns of Nimon,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1979
Season_17,Shada,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,2017
Season_18,The Leisure Hive,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1980
Season_18,Meglos,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1980
Season_18,Full Circle,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1980
Season_18,State of Decay,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1980
Season_18,Warriors' Gate,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1981
Season_18,The Keeper of Traken,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1981
Season_18,Logopolis,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1981
Season_19,Castrovalva,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,Four to Doomsday,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,Kinda,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,The Visitation,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,Black Orchid,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,Earthshock,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_19,Time-Flight,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1982
Season_20,Arc of Infinity,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,Snakedance,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,Mawdryn Undead,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,Terminus,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,Enlightenment,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,The King's Demons,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_20,The Five Doctors,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1983
Season_21,Warriors of the Deep,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,The Awakening,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,Frontios,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,Resurrection of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,Planet of Fire,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,The Caves of Androzani,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_21,The Twin Dilemma,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1984
Season_22,Attack of the Cybermen,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_22,Vengeance on Varos,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_22,The Mark of the Rani,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_22,The Two Doctors,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_22,Timelash,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_22,Revelation of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1985
Season_23,Trial of a Time Lord,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1986
Season_24,Time and the Rani,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1987
Season_24,Paradise Towers,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1987
Season_24,Delta and the Bannermen,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1987
Season_24,Dragonfire,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1987
Season_25,Remembrance of the Daleks,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1988
Season_25,The Happiness Patrol,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1988
Season_25,Silver Nemesis,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1988
Season_25,The Greatest Show in the Galaxy,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1988
Season_26,Battlefield,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1989
Season_26,Ghost Light,List_Parts,https://placehold.co/600x400/EEE/31343C,Placeholder Description,FALSE,1989
