Serial,Episode_Title,Image_URL,Description,Mode,Video_URL,Number,year,airdate,runtime,Visibility,Linked Series,Linked Episode
Doctor Who Confidential – Series 2,Welcome to Torchwood,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqdb1r.jpg,"With the Doctor and Rose finally coming face to face with Torchwood HQ, there is no better time to look at how this forthcoming series is being created and conceived. Dark in tone and adult in nature, the return of Captain Jack and his Torchwood accomplices are sure to attract massive attention when it airs this autumn. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gmkpby/doctor-who-confidential-series-2-12-welcome-to-torchwood,1124,2006,2006-07-01,,Shown,Series_2,Army of Ghosts
Doctor Who Confidential – Series 2,Finale,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqdbhm.jpg,"Wrapping up the series with a look back, as Rose and the Doctor have been pitted against the best and the worst the universe has to offer - from Clockwork Droids to Krillitanes and from Werewolves to the Wire. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074frc/doctor-who-confidential-series-2-13-finale,1125,2006,2006-07-08,,Shown,Series_2,Doomsday
Doctor Who Confidential – Series 2,Music and Monsters – 2006 Concert,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqdc4m.jpg,"A behind-the-scenes look at the musical celebration of Doctor Who, performed at the home of Cardiff's very own time rift, the Wales Millennium Centre.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007cjn9/doctor-who-confidential-music-and-monsters,1126,2006,2006-12-25,,Shown,Series_2,
Doctor Who Confidential – Series 3,Meet Martha Jones,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqf6wl.jpg,"The Doctor has a new companion, Martha Jones. By sheer courage and determination, she has wowed the Time Lord and been offered a place on board the Tardis. Featuring exclusive footage from the third series and interviews with Freema Agyeman, who plays Martha, David Tennant and head writer Russell T Davies, the programme examines the development of Martha's character and the huge interest behind the casting of the new companion. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/p0gml1wr/doctor-who-confidential-series-3-1-meet-martha-jones,1127,2007,2007-03-31,,Shown,Series_3,Smith and Jones
Doctor Who Confidential – Series 3,Stage Fright,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqjwxk.jpg,"The production team recreated some of the most breathtaking scenes to date as Martha's first trip in the Tardis takes her to Elizabethan England to meet William Shakespeare. With extensive footage both in the studio and on location through the long nights at London's Globe Theatre, this episode of Confidential highlights how this visual feast was created. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074gmv/doctor-who-confidential-series-3-2-stage-fright,1128,2007,2007-04-07,,Shown,Series_3,The Shakespeare Code
Doctor Who Confidential – Series 3,Are We There Yet?,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqjxnq.jpg,"There's a report from the green screen studios to witness how some of this series' most complicated action sequences were shot. Set in New New York, far in the future with endless space-age motorways and plentiful CGI, the filming of Gridlock was a big challenge for all involved. Plus, how guest star Ardal O'Hanlon was transformed into his character Brannigan and chats with David Tennant, Freema Agyeman and head writer Russell T Davies. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074gnp/doctor-who-confidential-series-3-3-are-we-there-yet,1129,2007,2007-04-14,,Shown,Series_3,Gridlock
Doctor Who Confidential – Series 3,A New York Story,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqf61l.jpg,"Daleks in Manhattan is set in New York in the 1930s and writer Helen Raynor goes Stateside to capture some inspiration by looking out at Manhattan, walking through Central Park, and seeing exactly how people lived in tenement buildings in the 30s. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b0074gpj/doctor-who-confidential-series-3-4-a-new-york-story,1130,2007,2007-04-21,,Shown,Series_3,Daleks in Manhattan
Doctor Who Confidential – Series 3,Making Manhatten,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk0hq.jpg,There's a trip to to Manhattan to find out how to recreate 1930s New York in the heart of south Wales. The producer and director of episodes four and five visit the New York locations they plan to reproduce and the visual effects supervisor shows what they need to make Manhattan in Cardiff. ,Iplayer,https://www.bbc.co.uk/iplayer/episode/b0079tcb/doctor-who-confidential-series-3-5-making-manhattan,1131,2007,2007-04-28,,Shown,Series_3,Evolution of the Daleks
Doctor Who Confidential – Series 3,Monsters Inc,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk10d.jpg,"An episode just wouldn't be the same without a monster, but the creation of such a beast is never easy, especially when it's purely computer- generated. There's a look at some of the prosthetic and CGI monsters created since the series returned in 2005 and an interview with guest star Mark Gatiss.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007ghxz/doctor-who-confidential-series-3-6-monsters-inc,1132,2007,2007-05-05,,Shown,Series_3,The Lazarus Experiment
Doctor Who Confidential – Series 3,Space Craft,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk17r.jpg,"There's access to the programme's art department and a tour of the mind-blowing spaceship sets and locations. Plus, a journey back in time to look at some of the best spaceship designs of the past five decades. Guest star Michelle Collins discusses her role as the ship's captain, and how she felt performing stunts on her very first day on set.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007hb4l/doctor-who-confidential-series-3-7-space-craft,1133,2007,2007-05-19,,Shown,Series_3,42
Doctor Who Confidential – Series 3,Alter Ego,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk1cw.jpg,There's a trip to Manhattan to find out how to recreate 1930s New York in the heart of south Wales. The producer and director of episodes four and five visit the New York locations they plan to reproduce and the visual effects supervisor shows what they need to make Manhattan in Cardiff. ,Iplayer,https://www.bbc.co.uk/iplayer/episode/b007l3g9/doctor-who-confidential-series-3-8-alter-ego,1134,2007,2007-05-26,,Shown,Series_3,Human Nature
Doctor Who Confidential – Series 3,Bad Blood,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk500.jpg,"With the Family of Blood breathing down the neck of the Doctor's alter ego, time is running out for John Smith. There's a glimpse of a life more ordinary (for the Doctor) as well as a vision of the dark future ahead. The complexities of filming the episode are revealed, as well as the logistics behind the explosive ending. Features interviews with head writer Russell T Davies and Freema Aygeman on one of her toughest assignments yet.",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007n0fx/doctor-who-confidential-series-3-9-bad-blood,1135,2007,2007-06-02,,Shown,Series_3,The Family of Blood
Doctor Who Confidential – Series 3,Do You Remember the First Time?,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk54s.jpg,"David Tennant directs his very own edition, given complete control to film his personal account of the making of Doctor Who and to take a nostalgic voyage of discovery to find out the secret behind the programme's success. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007nq3g/doctor-who-confidential-series-3-10-do-you-remember-the-first-time,1136,2007,2007-06-09,,Shown,Series_3,Blink
Doctor Who Confidential – Series 3,–Ello –Ello –Ello,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gqk5h5.jpg,"After being left alone by the Doctor and Rose in series one, Captain Jack Harkness returns and there's an interview with the actor who plays him, John Barrowman. ",Iplayer,https://www.bbc.co.uk/iplayer/episode/b007qrxn/doctor-who-confidential-series-3-11-ello-ello-ello,1137,2007,2007-06-16,,Shown,Series_3,Utopia
